,Title,Tomatometer,Popcornmeter,Streaming Start
306,All My Friends Hate Me,89.0,61.0,25.03.2022
307,Zeroville,23.0,38.0,17.11.2019
308,House of Darkness,60.0,22.0,13.09.2022
309,Reporting for Christmas,80.0,71.0,01.11.2023
310,Alone Together,30.0,46.0,29.07.2022
311,Biosphere,80.0,61.0,07.07.2023
312,We Have Always Lived in the Castle,84.0,71.0,17.05.2019
313,Falling for Figaro,73.0,71.0,01.10.2021
314,Matriarch,85.0,39.0,21.10.2022
315,Stars at Noon,62.0,14.0,14.10.2022
316,Not Okay,72.0,60.0,29.07.2022
317,Lights Out,35.0,53.0,16.02.2024
318,Wounds,47.0,14.0,18.10.2019
319,Deliver Us,67.0,60.0,29.09.2023
320,Ted K,85.0,51.0,18.02.2022
321,Welcome Home,10.0,24.0,16.11.2018
